id,start,end,duration,peak-time,peak-reflect_max,peak-reflect_avg,peak-area,peak-area_px,peak_lat,peak_lon,min-speed,avg-speed,max-speed,min-area,avg-area,max-area,pmed_med,pmax_med,delta-reflect,num_eventos_simult,threshold,vertices,edges,cluster_coef,avg_degree,diameter,shortpath_mean,avg_betweeness,num_components,giant_component_v,giant_component_e,singletons
1dc63a1d-cbb4-4a1c-8d23-064e678a6d90,2019-02-13 12:40:00,2019-02-13 14:50:00,2.1666667,2019-02-13 13:50:00,30.49,24.13962,95.13573,86,-23.41749,-45.87266,0.50920314,3.9657646255059675,8.885167,40.930485,93.6272298639471,148.23,23.63,27.82,4.18,11,0.5,138,1193,0.998988484282602,17.289855072463766,2,1.026915113871636,0.37681159420289856,9,29,354,0
ae8f8c1f-5fea-49d3-82c0-78c4a9927dbc,2019-01-06 00:40:00,2019-01-06 02:40:00,2,2019-01-06 01:10:00,32.50,24.960716,57.523926,52,-23.484932,-45.912247,0.916647,2.1746717265674045,5.048692,9.956064,44.80228928157261,84.07,23.69,28.84,5.15,15,0.7800000000000002,347,3438,0.919268473169309,19.815561959654186,14,2.0339597757995382,45.06051873198848,28,91,371,10
e8601fa6-3855-4421-a403-ca4b3cfd2697,2019-03-16 02:10:00,2019-03-16 03:50:00,1.6666666,2019-03-16 02:10:00,32.88,24.923887,109.51671,99,-23.922424,-46.1389,3.8439837,7.065419276555379,17.56915,89.604576,170.82025019327799,280.98,23.57,28.85,5.29,5,0.7000000000000002,530,16902,0.9308289211978977,63.78113207547168,11,3.453110126646113,533.3056603773589,9,438,16004,2
00ace48b-4768-43b2-a625-e6c6c2a6bb20,2019-01-04 00:00:00,2019-01-04 01:40:00,1.6666666,2019-01-04 00:20:00,34.01,25.767252,88.49835,80,-23.921408,-46.187893,0.5055177,3.535353740056356,6.504063,25.443275,62.225401878356934,88.50,24.40,29.52,5.12,1,0.8500000000000003,7411,401805,0.9131963415376789,108.43475914181636,25,4.451621813152785,6790.710835244909,475,4058,230418,203
7e4b7801-fe5f-4f8e-a609-6f2170843128,2019-03-04 22:30:00,2019-03-05 00:50:00,2.3333333,2019-03-04 23:30:00,34.01,25.241486,147.12851,133,-24.050787,-46.12851,0.99393886,3.7531235925853252,7.0338407,34.29311,123.27543425559998,254.43,24.14,29.91,5.78,15,0.6400000000000001,278,8198,0.8959107839174386,58.97841726618707,9,2.5967464114832524,192.99280575539547,8,248,8089,3
1b31d07a-cb01-43f1-88f4-7d3a629e2c0f,2019-03-12 04:10:00,2019-03-12 06:00:00,1.8333334,2019-03-12 04:20:00,34.39,25.278164,121.68523,110,-23.883923,-47.182343,0.07825114,2.743502582495029,7.85465,14.380981,69.5222591987023,157.08,23.93,28.73,4.80,5,0.7000000000000002,1237,165460,0.873807536006087,267.5181891673404,9,2.656822537521819,1018.9498787388868,4,1232,165458,1
0cf05794-76d0-490d-8ed9-b5604f4b710d,2019-02-14 04:50:00,2019-02-14 06:40:00,1.8333334,2019-02-14 06:40:00,35.01,28.644464,65.26753,59,-24.111887,-46.295353,1.4035822,6.150788105451143,9.16811,39.824257,98.02894093440129,175.89,25.46,32.07,6.61,1,0.5,51,282,1.0,11.058823529411768,1,1.0,0.0,5,15,105,0
5c934e3a-21a0-4487-a626-c0489edfa222,2019-03-17 05:50:00,2019-03-17 07:40:00,1.8333334,2019-03-17 07:10:00,35.01,25.510958,667.0563,603,-23.755234,-45.843063,3.1434548,6.692902363263643,20.820223,35.399338,137.93828964233398,667.06,23.51,27.89,4.38,2,0.5,11,17,1.0,3.090909090909091,1,1.0,0.0,3,5,10,0
7d781c20-a50f-4a93-9465-c93933a936c3,2019-02-12 15:40:00,2019-02-12 17:30:00,1.8333334,2019-02-12 16:20:00,35.26,27.870966,101.7731,92,-23.651215,-46.29181,0.8186267,3.310821180160229,6.274202,18.805899,97.77365625821628,169.25,25.70,31.87,6.16,3,0.5,119,777,1.0,13.058823529411772,1,1.0,0.0,11,23,253,1
b36e0241-46d7-44ac-8b8e-b1de0d5f95a4,2019-03-08 22:40:00,2019-03-09 00:20:00,1.6666666,2019-03-08 23:00:00,35.51,22.652588,4880.684,4412,-23.67625,-46.198326,3.1725934,14.593691249688467,43.555775,88.49835,2234.3989766438804,"4,880.68",22.06,29.44,7.38,1,0.6800000000000002,248,10048,0.9168006896778776,81.03225806451611,4,1.6135295959912304,63.19354838709675,8,207,9867,0
