id,start,end,duration,peak-time,peak-reflect_max,peak-reflect_avg,peak-area,peak-area_px,peak_lat,peak_lon,min-speed,avg-speed,max-speed,min-area,avg-area,max-area,avg-reflect_avg,avg-reflect_max,delta-reflect,num_simult_events,threshold,vertices,edges,cluster_coef,avg_degree,diameter,shortpath_mean,avg_betweeness,num_components,giant_component,singletons,t_delay
ae85dc4b-883c-431b-bf6e-1cad0d82a347,2019-03-20 07:30:00,2019-03-20 12:10:00,4.6666665,2019-03-20 10:00:00,49.57,32.28934,391.6052,354,-23.731316,-45.807007,0.33052424,5.003268131613732,15.4498005,33.186882,343.7792104085286,1174.8156,27.590862528483072,37.32699960072835,9.736137072,7,0.7700000000000002,499,21241,0.8104714622865331,85.13426853707418,14,3.7714202518745026,660.8997995991982,9,483,5,30.0
ae8f8c1f-5fea-49d3-82c0-78c4a9927dbc,2019-01-06 00:40:00,2019-01-06 02:40:00,2,2019-01-06 01:10:00,32.5,24.960716,57.523926,52,-23.484932,-45.912247,0.916647,2.1746717265674045,5.048692,9.956064,44.80228928157261,84.07343,23.690710476466588,28.842856815883092,5.152146339,15,0.8600000000000003,347,14971,0.8185903956411912,86.28818443804032,10,3.0721320085788126,341.08069164265123,9,336,6,30.0
af13b83e-2ad8-4ad5-9bf9-51038a051c89,2019-03-13 06:30:00,2019-03-13 11:40:00,5.1666665,2019-03-13 06:30:00,58.61,39.215187,6089.7925,5505,-24.095524,-47.173214,2.2453227,9.933457767963409,31.31015,47.567863,2384.8092353820803,6127.4043,26.744238948822023,37.29049987792969,10.54626093,3,0.9000000000000004,1480,256938,0.8482531721912726,347.21351351351296,16,3.6929873408323437,1960.5675675675723,10,1461,4,10.0
af198ad6-39f5-4ff5-870f-9777e5a81bdb,2019-02-03 18:10:00,2019-02-03 20:10:00,2,2019-02-03 18:50:00,60.36,45.161053,389.39273,352,-23.288666,-46.290253,1.2049943,4.906626428876605,10.896255,50.88655,322.14979335239957,889.4084,37.982721601213726,50.04357147216797,12.06084987,10,0.8700000000000003,3236,1028324,0.7245224306584358,635.5525339925832,16,2.6015004977318097,2572.0392459826935,12,3220,7,20.0
af4c4a34-376c-4be0-8664-09095a0ff876,2019-02-05 12:00:00,2019-02-05 14:20:00,2.3333333,2019-02-05 13:20:00,37.02,24.76605,388.2865,351,-23.944944,-46.148537,2.228156,5.896000757813454,14.508766,34.29311,131.9869887828827,388.2865,23.131276965141296,28.19624972343445,5.064972758,2,0.6700000000000002,110,3043,0.836923649880033,55.327272727272735,4,1.6992493744787318,38.10909090909091,1,110,0,20.0
aff888da-1fac-4496-8abb-4bc38e28f2db,2019-01-25 07:20:00,2019-01-25 09:30:00,2.1666667,2019-01-25 09:30:00,59.11,45.176533,1188.0903,1074,-23.940498,-46.424507,0.28927377,3.522877126932144,13.011082,12.168523,579.2216901779175,1200.2589,39.463887532552086,50.65733324686686,11.19344571,4,0.9900000000000004,837,59954,0.7626036258392971,143.2592592592592,12,3.1917370269618486,816.3058542413378,33,774,24,30.0
b00dabf1-8120-4be6-9c0f-d66b00ab4a0c,2019-01-15 18:10:00,2019-01-15 19:50:00,1.6666666,2019-01-15 19:10:00,63.88,46.154457,368.3744,333,-23.355812,-46.0479,0.7718592,6.141193355123202,10.270227,39.824257,188.796480178833,519.9278,37.39174143473307,49.28833325703939,11.89659182,7,0.8300000000000003,2251,496698,0.7073047445635541,441.3131941359393,8,2.189976486188404,1336.3451799200361,3,2249,2,10.0
b00ecb6e-9593-4f40-8748-f6465cbee3e1,2019-01-08 02:30:00,2019-01-08 05:00:00,2.5,2019-01-08 04:00:00,52.08,35.562313,736.7488,666,-23.43734,-46.194977,2.6703782,8.19657704409431,22.258026,36.50557,247.27479957131777,1408.23,33.21883123061236,44.58764715755687,11.36881593,4,0.8500000000000003,641,57490,0.8288972139979849,179.37597503900184,11,2.879383061757786,595.764430577223,3,635,0,10.0
b09a7581-dc8e-40d8-8f1f-e84030cb55d5,2019-02-28 06:20:00,2019-02-28 09:50:00,3.5,2019-02-28 08:00:00,46.3,29.514343,934.7638,845,-23.20741,-46.08018,4.2840075,9.474000288092572,15.582392,37.611797,464.5682318314262,1778.8168,24.849264974179476,31.656956382419754,6.807691408,9,0.7300000000000002,470,30844,0.8709801745372079,131.2510638297872,7,3.206367430248021,515.1914893617022,2,469,1,10.0
b148b14a-cfaa-4669-acf2-5ace60e76cce,2019-03-05 19:10:00,2019-03-05 21:20:00,2.1666667,2019-03-05 21:00:00,58.98,43.794037,802.0163,725,-23.539516,-46.577682,0.62475884,4.015318210919698,9.200309,40.930485,326.04266662597655,802.0163,40.72301966349284,52.556000010172525,11.83298035,15,0.9700000000000004,3074,473859,0.7103495166301561,308.30123617436465,13,2.9079700985449866,2918.2576447625243,8,3067,7,30.0
b18b031f-6ea3-4268-a4b5-5b6ef605975f,2019-01-06 18:30:00,2019-01-06 20:10:00,1.6666666,2019-01-06 18:30:00,54.84,44.521267,47.567863,43,-23.4644,-46.48462,4.6678696,6.817927797635396,9.74058,27.655733,120.67118422190349,272.13242,36.51849635442098,45.3116668065389,8.793170452,7,0.9800000000000004,2855,982917,0.7739490582573854,688.5583187390524,9,2.5511559879803514,2207.2987740805584,5,2849,2,10.0
b1c4a64a-153e-453c-aed3-5f17c01da1ee,2019-01-05 23:10:00,2019-01-06 01:20:00,2.1666667,2019-01-05 23:10:00,52.58,37.571815,326.33765,295,-23.396406,-45.902737,0.1583692,3.1147051781415938,8.912774,46.46163,119.03027750651042,326.33765,26.005920282999675,32.19466641743978,6.188746134,18,0.8300000000000003,574,43788,0.8170691421899091,152.57142857142867,8,2.4623250972107384,416.03658536585357,3,571,1,10.0
b2357037-b980-4692-846c-9e027a9ec5d3,2019-01-20 16:10:00,2019-01-20 18:00:00,1.8333334,2019-01-20 17:20:00,54.34,42.80828,267.7075,242,-23.773748,-46.543167,5.6750407,8.236376102154072,12.512032,96.24195,201.92940227801984,346.2498,34.67565653874324,44.50230818528395,9.826651647,6,0.9900000000000004,3865,1762887,0.7384375551607958,912.2313065976713,9,2.3230814104226076,2550.403622250975,4,3858,1,10.0
b349e0ea-f532-4242-8c98-1405532801d6,2019-01-04 20:00:00,2019-01-05 11:00:00,30.5,2019-01-05 00:50:00,69.4,40.052994,103058.54,93162,-23.037432,-47.783337,1.3547807,18.343528374381687,147.2943,56665.492,101071.77547554347,155934.1,37.89252057282821,54.66282612344493,16.77030555,26,0.8700000000000003,15792,651667,0.5881884685097447,82.5312816616007,55,10.283254096631223,50471.93591692003,2141,12200,1551,10.0
b36e0241-46d7-44ac-8b8e-b1de0d5f95a4,2019-03-08 22:40:00,2019-03-09 00:20:00,1.6666666,2019-03-08 23:00:00,35.51,22.652588,4880.684,4412,-23.67625,-46.198326,3.1725934,14.593691249688467,43.555775,88.49835,2234.3989766438804,4880.684,22.059454917907715,29.437499523162842,7.378044605,1,0.5,248,21706,0.9465091276880268,175.04838709677415,4,1.4968329633015565,61.35887096774194,1,248,0,10.0
b3c4cd32-5a0d-4f9d-b6e4-487c21233009,2019-01-07 20:10:00,2019-01-07 22:10:00,2,2019-01-07 20:30:00,57.6,40.415974,717.9429,649,-23.367144,-45.786266,2.7743986,7.34174518925803,20.80898,21.018358,398.3215901511056,1221.2772,33.12268543243408,43.151428495134624,10.02874306,6,0.9900000000000004,3374,1039452,0.7512280670039229,616.1541197391826,11,2.890934092483561,3111.7667457024336,30,3308,11,20.0
b4a57a9d-c365-40e3-8fb4-73e569d591dc,2019-02-03 18:40:00,2019-02-03 20:40:00,2,2019-02-03 19:20:00,56.6,42.118946,189.16522,171,-24.066109,-47.104366,1.2248421,6.425286667687552,18.66479,69.69245,205.67964444841658,335.1875,34.39482457297189,43.92214298248291,9.52731841,10,0.9700000000000004,4096,1282515,0.7290369107176378,626.2280273437489,11,2.754638332529334,3511.4140625000045,33,4020,14,10.0
b5031101-3541-483f-bc8a-26c4e29ce9b6,2019-02-10 17:20:00,2019-02-10 19:00:00,1.6666666,2019-02-10 18:30:00,54.58,42.97826,110.62293,100,-23.321135,-45.73568,1.7929909,4.310815334320068,6.7969694,25.443275,70.52212127049764,117.260315,32.41381470362345,40.28333330154419,7.869518598,1,0.9900000000000004,260,9798,0.8281237297093911,75.36923076923077,8,3.113504056948084,269.49615384615385,3,258,2,10.0
